"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
14/07/2025;-;"2,090 %";03/06/2025
18/08/2025;-;"2,070 %";03/06/2025
20/10/2025;-;"2,100 %";03/06/2025
20/04/2026;-;"2,130 %";03/06/2025
15/06/2026;-;"2,170 %";03/06/2025
15/10/2029;-;"2,320 %";30/05/2025
14/10/2030;-;"2,400 %";03/06/2025
14/05/2035;-;"2,660 %";03/06/2025
18/07/2039;-;"2,950 %";30/05/2025
21/08/2045;-;"3,340 %";03/06/2025
19/04/2055;-;"3,720 %";03/06/2025
Total;0,00;;
