"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
14/06/2021;21,60;"1,363 %";24/05/2021
19/07/2021;125,37;"1,363 %";24/05/2021
13/09/2021;276,27;"1,405 %";01/06/2021
20/09/2021;40,78;"1,399 %";01/06/2021
18/10/2021;102,54;"1,416 %";01/06/2021
14/02/2022;25,27;"1,490 %";27/05/2021
20/06/2022;100,28;"1,545 %";27/05/2021
17/10/2022;144,36;"1,619 %";27/05/2021
20/03/2023;25,41;"1,660 %";27/05/2021
03/04/2023;51,23;"1,670 %";27/05/2021
14/04/2025;102,71;"1,848 %";27/05/2021
20/10/2025;93,95;"1,892 %";27/05/2021
20/04/2026;40,78;"1,950 %";01/06/2021
14/08/2028;124,91;"2,111 %";27/05/2021
16/04/2029;125,31;"2,162 %";27/05/2021
17/06/2030;214,59;"2,262 %";27/05/2021
16/06/2031;176,80;"2,326 %";01/06/2021
17/07/2034;56,94;"2,513 %";20/05/2021
16/08/2038;62,45;"2,700 %";27/05/2021
19/08/2041;202,16;"2,840 %";01/06/2021
20/02/2051;104,55;"3,266 %";30/04/2021
Total;"2 218,26";;
