"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
16/03/2026;0,00;"2,280 %";17/12/2025
18/05/2026;0,00;"2,280 %";17/12/2025
14/09/2026;0,00;"2,310 %";17/12/2025
15/03/2027;0,00;"2,380 %";17/12/2025
15/04/2030;0,00;"2,600 %";17/12/2025
14/04/2031;0,00;"2,630 %";17/12/2025
18/06/2035;0,00;"2,950 %";17/12/2025
18/07/2039;0,00;"3,310 %";17/12/2025
14/08/2045;0,00;"3,480 %";17/12/2025
19/04/2055;0,00;"3,850 %";17/12/2025
Total;0,00;;
