"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
19/08/2024;-;"2,770 %";02/07/2024
26/08/2024;-;"2,780 %";28/06/2024
14/10/2024;-;"2,790 %";02/07/2024
19/11/2024;-;"2,800 %";28/06/2024
20/01/2025;-;"2,820 %";28/06/2024
14/04/2025;-;"2,890 %";02/07/2024
02/06/2025;-;"2,900 %";02/07/2024
17/11/2025;-;"2,930 %";28/06/2024
18/05/2026;-;"3,030 %";28/06/2024
15/06/2026;-;"3,030 %";28/06/2024
17/04/2028;-;"3,190 %";28/06/2024
15/10/2029;-;"3,300 %";02/07/2024
18/09/2034;-;"3,590 %";02/07/2024
18/07/2039;-;"3,850 %";02/07/2024
15/08/2044;-;"4,090 %";02/07/2024
15/02/2055;-;"4,710 %";02/07/2024
Total;0,00;;
